symbol,company_name,isin,series,market_cap_cr
ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ,0
ALOKINDS,Alok Industries Limited,INE270A01029,EQ,6047.66
ALPA,Alpa Laboratories Limited,INE385I01010,EQ,0
ALPHAGEO,Alphageo (India) Limited,INE137C01018,BE,0
ALPINETEX,Alpine Texworld Limited,INE1JCQ01037,EQ,0
ALUFLUOR,Alufluoride Limited,INE058F01019,EQ,0
AMAGI,Amagi Media Labs Limited,INE121R01077,EQ,9178.18
AMAL,Amal Limited,INE841D01013,EQ,0
AMANTA,Amanta Healthcare Limited,INE084K01015,BE,0
AMARJOTHI,Amarjothi Spinning Mills Limited,INE484D01012,EQ,0
AMBALALSA,Ambalal Sarabhai Enterprises Limited,INE432A01017,BE,0
AMBER,Amber Enterprises India Limited,INE371P01015,EQ,26171.15
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ,0
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ,0
AMBUJACEM,Ambuja Cements Limited,INE079A01024,EQ,104607.57
AMDIND,AMD Industries Limited,INE005I01014,EQ,0
AMJLAND,Amj Land Holdings Limited,INE606A01024,EQ,0
AMNPLST,Amines & Plasticizers Limited,INE275D01022,EQ,1041.53
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ,1630.34
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ,29295.49
ANANTRAJ,Anant Raj Limited,INE242C01024,EQ,19242.62
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ,1210.0
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,EQ,1124.13
ANDREWYU,Andrew Yule & Company Limited,INE449C01025,EQ,0
ANGELONE,Angel One Limited,INE732I01021,EQ,31003.65
ANIKINDS,Anik Industries Limited,INE087B01017,EQ,0
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,BZ,0
ANMOL,Anmol India Limited,INE02AR01019,EQ,0
ANNAPURNA,Annapurna Swadisht Limited,INE0MGM01017,EQ,0
ANNU,Annu Projects Limited,INE103001017,BE,0
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,BZ,0
ANSALBU,Ansal Buildwell Limited,INE030C01015,EQ,0
ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,EQ,2947.48
ANTGRAPHIC,Antarctica Limited,INE414B01021,EQ,0
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,EQ,44413.57
ANUHPHR,Anuh Pharma Limited,INE489G01022,EQ,0
ANUP,The Anup Engineering Limited,INE294Z01018,EQ,3804.18
ANURAS,Anupam Rasayan India Limited,INE930P01018,EQ,14205.99
APARINDS,Apar Industries Limited,INE372A01015,EQ,61208.28
APCL,Anjani Portland Cement Limited,INE071F01012,EQ,0
APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ,2754.52
APEX,Apex Frozen Foods Limited,INE346W01013,EQ,1310.78
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ,50478.3
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,EQ,14606.61
APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ,14622.73
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,EQ,122165.91
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,EQ,2178.4
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,EQ,25156.35
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,EQ,0
APOORVA,Apoorva Leasing Finance and Investment Company Limited,INE217S01014,EQ,0
APTECHT,Aptech Limited,INE266F01018,BE,0
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,EQ,13627.71
AQYLON,Aqylon Nexus Limited,INE416A01051,EQ,1438.65
ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ,0
ARCHIES,Archies Limited,INE731A01020,EQ,0
ARCL,ARCL Organics Limited,INE372M01010,EQ,0
ARDEE,Ardee Industries Limited,INE0XNF01022,EQ,0
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,EQ,15071.22
ARENTERP,Rajdarshan Industries Limited,INE610C01014,EQ,0
ARFIN,Arfin India Limited,INE784R01023,EQ,1431.1
ARIES,Aries Agro Limited,INE298I01015,EQ,0
ARIHANT,Arihant Foundations & Housing Limited,INE413D01011,EQ,0
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,EQ,0
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ,1102.87
ARIS,Arisinfra Solutions Limited,INE0H9P01028,EQ,0
ARKADE,Arkade Developers Limited,INE0QRL01017,EQ,2119.35
ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ,1731.62
AROGRANITE,Aro Granite Industries Limited,INE210C01013,EQ,0
ARROWGREEN,Arrow Greentech Limited,INE570D01018,BE,0
ARSHIYA,Arshiya Limited,INE968D01022,BZ,0
ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,EQ,3422.01
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ,4168.14
ARTNIRMAN,Art Nirman Limited,INE738V01013,EQ,0
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,EQ,0
ARVIND,Arvind Limited,INE034A01011,EQ,12968.05
ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ,6019.37
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ,2636.2
ARYAMAN,Aryaman Financial Services Limited,INE032E01017,EQ,0
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,EQ,22423.4
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,BE,0
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,EQ,0
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,EQ,1644.19
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,EQ,6597.51
ASHIANA,Ashiana Housing Limited,INE365D01021,EQ,3638.5
ASHIKAG,Ashika Global Securities Limited,INE094B01013,BE,0
ASHIMASYN,Ashima Limited,INE440A01010,EQ,0
ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ,3461.32
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ,0
ASHOKLEY,Ashok Leyland Limited,INE208A01029,EQ,89576.28
ASIANENE,Asian Energy Services Limited,INE276G01015,EQ,1647.36
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,EQ,1261.09
ASIANPAINT,Asian Paints Limited,INE021A01026,EQ,263443.67
ASIANTILES,Asian Granito India Limited,INE022I01019,EQ,1780.33
